ds,y,y_predicted
2015-11-06 19:40:00,54,19
2015-11-06 19:45:00,46,19
2015-11-06 19:50:00,51,19
2015-11-06 19:55:00,57,18
2015-11-06 20:00:00,27,18
2015-11-06 20:05:00,45,17
2015-11-06 20:10:00,50,17
2015-11-06 20:15:00,46,16
2015-11-06 20:20:00,44,16
2015-11-06 20:25:00,47,15
2015-11-06 20:30:00,52,15
2015-11-06 20:35:00,53,14
2015-11-06 20:40:00,37,13
2015-11-06 20:45:00,40,13
2015-11-06 20:50:00,42,12
2015-11-06 20:55:00,45,11
2015-11-06 21:00:00,40,10
2015-11-06 21:05:00,42,10
2015-11-06 21:10:00,45,9
2015-11-06 21:15:00,36,8
2015-11-06 21:20:00,43,7
2015-11-06 21:25:00,35,6
2015-11-06 21:30:00,38,5
2015-11-06 21:35:00,38,5
2015-11-06 21:40:00,39,4
2015-11-06 21:45:00,38,3
2015-11-06 21:50:00,43,2
2015-11-06 21:55:00,36,1
2015-11-06 22:00:00,42,0
2015-11-06 22:05:00,38,0
2015-11-06 22:10:00,30,-1
2015-11-06 22:15:00,39,-1
2015-11-06 22:20:00,27,-2
2015-11-06 22:25:00,30,-3
2015-11-06 22:30:00,29,-4
2015-11-06 22:35:00,26,-5
2015-11-06 22:40:00,32,-5
2015-11-06 22:45:00,25,-6
2015-11-06 22:50:00,30,-7
2015-11-06 22:55:00,25,-7
2015-11-06 23:00:00,14,-8
2015-11-06 23:05:00,26,-8
2015-11-06 23:10:00,26,-9
2015-11-06 23:15:00,33,-10
2015-11-06 23:20:00,18,-10
2015-11-06 23:25:00,17,-11
2015-11-06 23:30:00,26,-11
2015-11-06 23:35:00,23,-11
2015-11-06 23:40:00,25,-12
2015-11-06 23:45:00,16,-12
2015-11-06 23:50:00,18,-13
2015-11-06 23:55:00,25,-13
