ds,y,y_predicted
2015-11-04 15:30:00,46,45
2015-11-04 15:35:00,53,44
2015-11-04 15:40:00,56,44
2015-11-04 15:45:00,48,44
2015-11-04 15:50:00,50,44
2015-11-04 15:55:00,51,44
2015-11-04 16:00:00,54,44
2015-11-04 16:05:00,49,44
2015-11-04 16:10:00,42,44
2015-11-04 16:15:00,57,43
2015-11-04 16:20:00,59,43
2015-11-04 16:25:00,54,43
2015-11-04 16:30:00,47,43
2015-11-04 16:35:00,37,43
2015-11-04 16:40:00,53,43
2015-11-04 16:45:00,37,43
2015-11-04 16:50:00,40,43
2015-11-04 16:55:00,43,43
2015-11-04 17:00:00,40,42
2015-11-04 17:05:00,43,42
2015-11-04 17:10:00,52,42
2015-11-04 17:15:00,56,42
2015-11-04 17:20:00,72,42
2015-11-04 17:25:00,71,42
2015-11-04 17:30:00,73,42
2015-11-04 17:35:00,53,42
2015-11-04 17:40:00,83,42
2015-11-04 17:45:00,67,42
2015-11-04 17:50:00,72,42
2015-11-04 17:55:00,58,42
2015-11-04 18:00:00,51,42
2015-11-04 18:05:00,64,42
2015-11-04 18:10:00,83,42
2015-11-04 18:15:00,55,42
2015-11-04 18:20:00,43,42
2015-11-04 18:25:00,56,42
2015-11-04 18:30:00,56,42
2015-11-04 18:35:00,65,42
2015-11-04 18:40:00,65,42
2015-11-04 18:45:00,63,42
2015-11-04 18:50:00,56,42
2015-11-04 18:55:00,70,42
2015-11-04 19:00:00,60,42
2015-11-04 19:05:00,51,42
2015-11-04 19:10:00,76,42
2015-11-04 19:15:00,55,41
2015-11-04 19:20:00,46,41
2015-11-04 19:25:00,55,41
2015-11-04 19:30:00,46,41
2015-11-04 19:35:00,44,41
2015-11-04 19:40:00,51,40
2015-11-04 19:45:00,46,40
2015-11-04 19:50:00,41,40
2015-11-04 19:55:00,51,39
2015-11-04 20:00:00,38,39
2015-11-04 20:05:00,43,38
2015-11-04 20:10:00,54,38
2015-11-04 20:15:00,53,37
2015-11-04 20:20:00,40,37
2015-11-04 20:25:00,48,36
2015-11-04 20:30:00,39,35
2015-11-04 20:35:00,50,35
2015-11-04 20:40:00,34,34
2015-11-04 20:45:00,30,33
2015-11-04 20:50:00,50,32
2015-11-04 20:55:00,38,32
2015-11-04 21:00:00,40,31
2015-11-04 21:05:00,37,30
2015-11-04 21:10:00,30,29
2015-11-04 21:15:00,35,28
2015-11-04 21:20:00,30,27
2015-11-04 21:25:00,31,26
2015-11-04 21:30:00,25,26
2015-11-04 21:35:00,27,25
2015-11-04 21:40:00,21,24
2015-11-04 21:45:00,31,23
2015-11-04 21:50:00,33,22
2015-11-04 21:55:00,31,21
2015-11-04 22:00:00,26,20
2015-11-04 22:05:00,39,19
2015-11-04 22:10:00,28,18
2015-11-04 22:15:00,30,17
2015-11-04 22:20:00,22,17
2015-11-04 22:25:00,26,16
2015-11-04 22:30:00,17,15
2015-11-04 22:35:00,17,14
2015-11-04 22:40:00,29,13
2015-11-04 22:45:00,17,13
2015-11-04 22:50:00,18,12
2015-11-04 22:55:00,21,11
2015-11-04 23:00:00,16,11
2015-11-04 23:05:00,12,10
2015-11-04 23:10:00,26,9
2015-11-04 23:15:00,11,9
2015-11-04 23:20:00,20,8
2015-11-04 23:25:00,21,8
2015-11-04 23:30:00,13,7
2015-11-04 23:35:00,22,7
2015-11-04 23:40:00,21,6
2015-11-04 23:45:00,16,6
2015-11-04 23:50:00,15,5
2015-11-04 23:55:00,12,5
2015-11-05 00:00:00,15,5
2015-11-05 00:05:00,14,4
2015-11-05 00:10:00,13,4
2015-11-05 00:15:00,14,4
2015-11-05 00:20:00,21,4
2015-11-05 00:25:00,9,3
2015-11-05 00:30:00,10,3
2015-11-05 00:35:00,5,3
2015-11-05 00:40:00,5,3
2015-11-05 00:45:00,6,2
2015-11-05 00:50:00,7,2
2015-11-05 00:55:00,13,2
2015-11-05 01:00:00,9,2
2015-11-05 01:05:00,14,1
2015-11-05 01:10:00,15,1
2015-11-05 01:15:00,8,1
2015-11-05 01:20:00,7,1
2015-11-05 01:25:00,8,0
2015-11-05 01:30:00,8,0
2015-11-05 01:35:00,11,0
2015-11-05 01:40:00,7,0
2015-11-05 01:45:00,14,0
2015-11-05 01:50:00,4,0
2015-11-05 01:55:00,10,-1
2015-11-05 02:00:00,9,-1
2015-11-05 02:05:00,5,-1
2015-11-05 02:10:00,3,-2
2015-11-05 02:15:00,9,-2
2015-11-05 02:20:00,4,-2
2015-11-05 02:25:00,4,-3
2015-11-05 02:30:00,6,-3
2015-11-05 02:35:00,3,-4
2015-11-05 02:40:00,8,-4
2015-11-05 02:45:00,5,-4
2015-11-05 02:50:00,4,-5
2015-11-05 02:55:00,6,-5
2015-11-05 03:00:00,5,-5
2015-11-05 03:05:00,3,-6
2015-11-05 03:10:00,6,-6
2015-11-05 03:15:00,4,-6
2015-11-05 03:20:00,6,-7
2015-11-05 03:25:00,4,-7
2015-11-05 03:30:00,4,-7
2015-11-05 03:35:00,3,-7
2015-11-05 03:40:00,3,-7
2015-11-05 03:45:00,5,-7
2015-11-05 03:50:00,8,-8
2015-11-05 03:55:00,6,-8
2015-11-05 04:00:00,5,-7
2015-11-05 04:05:00,2,-7
2015-11-05 04:10:00,3,-7
2015-11-05 04:15:00,5,-7
2015-11-05 04:20:00,3,-7
2015-11-05 04:25:00,9,-6
2015-11-05 04:30:00,3,-6
2015-11-05 04:35:00,4,-6
2015-11-05 04:40:00,17,-5
2015-11-05 04:45:00,22,-4
2015-11-05 04:50:00,14,-4
2015-11-05 04:55:00,14,-3
2015-11-05 05:00:00,18,-2
2015-11-05 05:05:00,11,-1
2015-11-05 05:10:00,16,0
2015-11-05 05:15:00,11,0
2015-11-05 05:20:00,12,1
2015-11-05 05:25:00,15,2
2015-11-05 05:30:00,11,3
2015-11-05 05:35:00,13,4
2015-11-05 05:40:00,18,6
2015-11-05 05:45:00,21,7
2015-11-05 05:50:00,10,8
2015-11-05 05:55:00,16,10
2015-11-05 06:00:00,15,11
2015-11-05 06:05:00,14,13
2015-11-05 06:10:00,16,14
2015-11-05 06:15:00,25,16
2015-11-05 06:20:00,27,17
2015-11-05 06:25:00,27,19
2015-11-05 06:30:00,44,20
2015-11-05 06:35:00,50,22
2015-11-05 06:40:00,51,23
2015-11-05 06:45:00,44,25
2015-11-05 06:50:00,41,27
2015-11-05 06:55:00,44,28
2015-11-05 07:00:00,42,30
2015-11-05 07:05:00,54,31
2015-11-05 07:10:00,62,32
2015-11-05 07:15:00,60,34
2015-11-05 07:20:00,50,35
2015-11-05 07:25:00,64,36
2015-11-05 07:30:00,83,38
2015-11-05 07:35:00,90,39
2015-11-05 07:40:00,67,40
2015-11-05 07:45:00,66,41
2015-11-05 07:50:00,92,42
2015-11-05 07:55:00,82,43
2015-11-05 08:00:00,76,44
2015-11-05 08:05:00,77,44
2015-11-05 08:10:00,70,45
2015-11-05 08:15:00,65,46
2015-11-05 08:20:00,61,46
2015-11-05 08:25:00,62,47
2015-11-05 08:30:00,77,47
2015-11-05 08:35:00,70,47
2015-11-05 08:40:00,68,48
2015-11-05 08:45:00,62,48
2015-11-05 08:50:00,61,48
2015-11-05 08:55:00,67,48
2015-11-05 09:00:00,50,48
2015-11-05 09:05:00,61,47
2015-11-05 09:10:00,68,47
2015-11-05 09:15:00,70,47
2015-11-05 09:20:00,56,47
2015-11-05 09:25:00,59,46
2015-11-05 09:30:00,63,46
2015-11-05 09:35:00,59,45
2015-11-05 09:40:00,58,45
2015-11-05 09:45:00,54,44
2015-11-05 09:50:00,53,43
2015-11-05 09:55:00,60,43
2015-11-05 10:00:00,58,42
2015-11-05 10:05:00,50,41
2015-11-05 10:10:00,57,41
2015-11-05 10:15:00,52,40
2015-11-05 10:20:00,45,39
2015-11-05 10:25:00,55,38
2015-11-05 10:30:00,40,38
2015-11-05 10:35:00,46,37
2015-11-05 10:40:00,47,36
2015-11-05 10:45:00,44,35
2015-11-05 10:50:00,10,35
2015-11-05 10:55:00,29,34
2015-11-05 11:00:00,46,33
2015-11-05 11:05:00,29,33
2015-11-05 11:10:00,59,32
2015-11-05 11:15:00,39,32
2015-11-05 11:20:00,53,31
2015-11-05 11:25:00,47,31
2015-11-05 11:30:00,47,30
2015-11-05 11:35:00,44,30
2015-11-05 11:40:00,41,29
2015-11-05 11:45:00,43,29
2015-11-05 11:50:00,43,29
2015-11-05 11:55:00,50,29
2015-11-05 12:00:00,47,28
2015-11-05 12:05:00,38,28
2015-11-05 12:10:00,44,28
2015-11-05 12:15:00,37,28
2015-11-05 12:20:00,38,28
2015-11-05 12:25:00,39,28
2015-11-05 12:30:00,44,28
2015-11-05 12:35:00,40,28
2015-11-05 12:40:00,49,28
2015-11-05 12:45:00,24,28
2015-11-05 12:50:00,27,29
2015-11-05 12:55:00,46,29
2015-11-05 13:00:00,39,29
2015-11-05 13:05:00,41,29
2015-11-05 13:10:00,67,29
2015-11-05 13:15:00,44,30
2015-11-05 13:20:00,59,30
2015-11-05 13:25:00,32,30
2015-11-05 13:30:00,51,30
2015-11-05 13:35:00,46,31
2015-11-05 13:40:00,50,31
2015-11-05 13:45:00,47,31
2015-11-05 13:50:00,47,31
2015-11-05 13:55:00,54,32
2015-11-05 14:00:00,46,32
2015-11-05 14:05:00,54,32
2015-11-05 14:10:00,51,32
2015-11-05 14:15:00,58,32
2015-11-05 14:20:00,39,33
2015-11-05 14:25:00,60,33
2015-11-05 14:30:00,52,33
2015-11-05 14:35:00,44,33
2015-11-05 14:40:00,52,33
2015-11-05 14:45:00,49,33
2015-11-05 14:50:00,56,33
2015-11-05 14:55:00,62,33
2015-11-05 15:00:00,64,33
2015-11-05 15:05:00,36,33
2015-11-05 15:10:00,35,33
2015-11-05 15:15:00,49,33
2015-11-05 15:20:00,53,33
2015-11-05 15:25:00,47,33
2015-11-05 15:30:00,52,33
2015-11-05 15:35:00,44,33
2015-11-05 15:40:00,46,33
2015-11-05 15:45:00,43,32
2015-11-05 15:50:00,48,32
2015-11-05 15:55:00,52,32
2015-11-05 16:00:00,52,32
2015-11-05 16:05:00,61,32
2015-11-05 16:10:00,57,32
2015-11-05 16:15:00,54,31
2015-11-05 16:20:00,48,31
2015-11-05 16:25:00,57,31
2015-11-05 16:30:00,63,31
2015-11-05 16:35:00,41,31
2015-11-05 16:40:00,47,30
2015-11-05 16:45:00,64,30
2015-11-05 16:50:00,47,30
2015-11-05 16:55:00,60,30
2015-11-05 17:00:00,56,30
2015-11-05 17:05:00,46,30
2015-11-05 17:10:00,54,30
2015-11-05 17:15:00,48,29
2015-11-05 17:20:00,47,29
2015-11-05 17:25:00,63,29
2015-11-05 17:30:00,61,29
2015-11-05 17:35:00,60,29
2015-11-05 17:40:00,73,29
2015-11-05 17:45:00,68,29
2015-11-05 17:50:00,55,29
2015-11-05 17:55:00,62,29
2015-11-05 18:00:00,67,29
2015-11-05 18:05:00,74,29
2015-11-05 18:10:00,57,29
2015-11-05 18:15:00,53,29
2015-11-05 18:20:00,55,29
2015-11-05 18:25:00,60,29
2015-11-05 18:30:00,50,29
2015-11-05 18:35:00,60,29
2015-11-05 18:40:00,59,29
2015-11-05 18:45:00,56,28
2015-11-05 18:50:00,50,28
2015-11-05 18:55:00,47,28
2015-11-05 19:00:00,43,28
2015-11-05 19:05:00,47,28
2015-11-05 19:10:00,52,28
2015-11-05 19:15:00,48,28
2015-11-05 19:20:00,50,27
2015-11-05 19:25:00,50,27
2015-11-05 19:30:00,38,27
2015-11-05 19:35:00,46,27
2015-11-05 19:40:00,44,26
2015-11-05 19:45:00,56,26
2015-11-05 19:50:00,49,25
2015-11-05 19:55:00,41,25
2015-11-05 20:00:00,50,25
2015-11-05 20:05:00,40,24
2015-11-05 20:10:00,41,23
2015-11-05 20:15:00,39,23
